10430433 | Eastern Me Board Of Approved Basketball Officals | Eastern Me Board Of Approved Basketball Officials | 2014 | John A Doe | Po Box 341 |  | East Millinocket | Me
10444289 | South Lewiston Little League | N/a | 2013 | Jeff Pelletier | Po Box 1503 |  | Lewiston | Me
10454657 | Mountain Meadow Riders Snowmobile Club Inc | N/a | 2012 | Clem Paquette | Po Box 421 |  | Madison | Nh
10476908 | Mhs Inc | N/a | 2013 | Lendall L Smith | 489 Congress Street |  | Portland | Me
10503143 | Freeport Elders Association | N/a | 2014 | Martha Daly | Po Box 176 |  | Freeport | Me
10519039 | Museum Of African Culture | N/a | 2014 | Oscar Mokeme | 13 Brown Street |  | Portland | Me
10519776 | Seymour Papert Institute | N/a | 2014 | Suzanne Massie | Po Box 387 |  | Blue Hill | Me
10525037 | Turning Point Farm | N/a | 2013 | Nancy Rochat | 26 Durham Road |  | Pownal | Me
10557631 | Kentucky Alpaca Association Aka Ky Classic Alpaca Show | N/a | 2014 | Steve Ross | 6041 Damar Ct |  | Lexington | Ky
10646311 | Cayuga Housing Development Corp | N/a | 2013 | Brenda Westfall | 800 S Plain Street |  | Ithaca | Ny
10672630 | Up To Us Of Wisconsin Inc | N/a | 2013 | Daniel R Brophey | 6413 North 42nd Street |  | Milwaukee | Wi
10675129 | International Institute For Community Solutions Inc | N/a | 2013 | Mary Mccormick | 121 Sixth Avenue |  | New York | Ny
10684107 | Quantico Education Association | N/a | 2013 | Luis Rios | Po Box 41035 |  | Fayetteville | Nc
10689354 | Karp Housing Inc | N/a | 2013 | Steve Shannon | 152 West Zandale Drive No 201 |  | Lexington | Ky
10703164 | The Artemis Project | N/a | 2014 | Dorian Rence | C/o Dorian Rence 318 W 77th St |  | New York | Ny
10703468 | Joseph P Joey Jason Jr Charitable Foundation Inc | Na | 2013 | David Lapalme | 522 Hawthorn Street |  | No Dartmouth | Ma
10711700 | Fisher Of Men Inc | N/a | 2011 | Jacinta Fisher | 328 Forest Blvd |  | Park Forest | Il
10717158 | Georgetown Community Resource Center Co Tom Nichols | N/a | 2009 | Tom Nichols | 805 West University Ave |  | Georgetown | Tx
10769149 | International Union Of Painters And Allied Trades | N/a | 2014 | Philip Muehr | 5425 Spindle Drive |  | Houston | Tx
10813082 | Irvington Pba Local 29 Civic Association Inc | N/a | 2014 | Harold Wallace - Chairman | Po Box 81 |  | Irvington | Nj
10825812 | The Perry Street Theatre Company Inc | N/a | 2013 | David Elliot | 1650 Broadway Suite 700 No 805 |  | New York | Ny
10831771 | Reaching Out For Kids Inc | N/a | 2014 | Ron Dumas | C/o/ Cheryl Borland - 3611 | Decoursey Ave | Covington | Ky
10833316 | Maplewood Pba Local 44 Civic Association Inc | N/a | 2014 | Vincent Decicco -president | Po Box 332 |  | Maplewood | Nj
10844532 | Restoration Ministries Inc | N/a | 2009 | Pastor Paul Kariuki | 1404 Tammy Anne Circle |  | Birmingham | Al
10850579 | The Kathleen Warble Foundation Co Tom O\'brien | N/a | 2014 | Bradley Warble | 2801 Lakeside Dr No 3rd Fl |  | Bannockburn | Il
10875296 | One Star Enterprise | Na | 2014 |  | 19933 Choctaw Ct |  | Germantown | Md
10931060 | Berkeley Heights Pba Local 144 Civic Association Inc | N/a | 2014 | Patrick Moran -delegate | 29 Park Avenue |  | Berkeley Heights | Nj
10957474 | West Orange Pba Local 25 Civic Association Inc | N/a | 2014 | Chris Jacksic -president | Po Box 392 |  | West Orange | Nj
10960023 | Brielle Pba Local 395 | N/a | 2014 | Jim Seidel | Po Box 595 |  | Brielle | Nj
10960952 | Team Dcoy Crohns And Colitis Foundation | N/a | 2010 | Sarah Reed | 7480 West Crimson Ridge Drive |  | Tucson | Az
